data.username,data.name,data.description,data.id,data.verified,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,lastUpdate
Diplomat_APAC,The Diplomat,"The Diplomat: the premier international affairs magazine for the Asia-Pacific, covering politics, defense and society from China and Iran to Burma and Australia",39922594,TRUE,204711,850,98430,4624,2022-05-22T11:40:49.615711Z
BBCAfrica,BBC News Africa,African news from the BBC. Facebook: https://t.co/WO6e37RBOY Instagram: https://t.co/DI6qruNWHJ YouTube: https://t.co/ZJFI3G9fex,36670025,TRUE,3633347,1530,88971,8558,2022-05-22T11:40:49.615711Z
abcnews,ABC News,Latest news updates (mostly automated) from the Australian Broadcasting Corp. This is an official @abcaustralia account.,2768501,TRUE,2038373,1182,353474,13317,2022-05-22T11:40:49.615711Z
9NewsAUS,9News Australia,Australia's No.1: Follow @9NewsSyd | @9NewsMelb | @9NewsQueensland | @9NewsGoldCoast | @9NewsAdel | @9NewsDarwin | @9NewsPerth,22993014,TRUE,776965,245,333739,3017,2022-05-22T11:40:49.615711Z
AJENews,Al Jazeera Breaking News,"Breaking news from around the world. Follow @AJEnglish for news, unique perspectives, analysis, videos and more.",18424289,TRUE,2074131,172,144869,20493,2022-05-22T11:40:49.615711Z
AJEnglish,Al Jazeera English,"Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.",4970411,TRUE,7816240,240,305635,56109,2022-05-22T11:40:49.615711Z
euronews,euronews,All Views | We tweet in 12 languages. Choose yours: https://t.co/GYMYe6YCRZ | You can DM us to contact the newsroom,25067168,TRUE,525416,1109,160760,8945,2022-05-22T11:40:49.615711Z
TIME,TIME,News and current events from around the globe. Subscribe: https://t.co/yT0dueLEm0,14293310,TRUE,19061696,524,393201,105885,2022-05-22T11:40:49.615711Z
elonmusk,Elon Musk,"",44196397,TRUE,94553320,112,17971,95947,2022-05-22T11:40:49.615711Z
Pontifex,Pope Francis,Welcome to the official Twitter page of His Holiness Pope Francis,500704345,TRUE,18958715,8,4097,24109,2022-05-22T11:40:49.615711Z
